event_date,year_month,country,category,device_type,user_id,session_id,event_name,quantity,unit_price,revenue
2025-09-01,2025-09,Canada,Beauty,Mobile,U01298,S0000104,viewed,,,
2025-09-01,2025-09,United Kingdom,Apparel,Desktop,U00461,S0000303,viewed,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U00432,S0000381,viewed,,,
2025-09-01,2025-09,United States,Home,Desktop,U00515,S0000465,add_to_cart,,,
2025-09-01,2025-09,United States,Home,Desktop,U00515,S0000465,checkout_started,,,
2025-09-01,2025-09,United States,Home,Desktop,U00515,S0000465,purchased,2.0,115.60838252310367,231.22
2025-09-01,2025-09,United States,Home,Desktop,U00515,S0000465,viewed,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U01855,S0000575,add_to_cart,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U01855,S0000575,checkout_started,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U01855,S0000575,purchased,4.0,33.34147376447402,133.37
2025-09-01,2025-09,United States,Beauty,Mobile,U01855,S0000575,viewed,,,
2025-09-01,2025-09,Australia,Sports,Desktop,U01070,S0000707,viewed,,,
2025-09-01,2025-09,United States,Home,Desktop,U01064,S0000773,viewed,,,
2025-09-01,2025-09,United States,Electronics,Tablet,U02271,S0000845,viewed,,,
2025-09-01,2025-09,Germany,Sports,Mobile,U00419,S0000846,viewed,,,
2025-09-01,2025-09,Germany,Electronics,Mobile,U02418,S0000901,viewed,,,
2025-09-01,2025-09,United States,Home,Mobile,U02561,S0001070,viewed,,,
2025-09-01,2025-09,United States,Apparel,Desktop,U01208,S0001175,add_to_cart,,,
2025-09-01,2025-09,United States,Apparel,Desktop,U01208,S0001175,checkout_started,,,
2025-09-01,2025-09,United States,Apparel,Desktop,U01208,S0001175,viewed,,,
2025-09-01,2025-09,Canada,Home,Mobile,U01210,S0001190,viewed,,,
2025-09-01,2025-09,United States,Home,Desktop,U02109,S0001237,add_to_cart,,,
2025-09-01,2025-09,United States,Home,Desktop,U02109,S0001237,checkout_started,,,
2025-09-01,2025-09,United States,Home,Desktop,U02109,S0001237,purchased,2.0,80.18554905319775,160.37
2025-09-01,2025-09,United States,Home,Desktop,U02109,S0001237,viewed,,,
