first_medium,device_type,users,avg_sessions,median_journey_days,fast_purchase_7d_pct,avg_first_purchase_revenue,friction_index
Social,Tablet,36,5.027777777777778,13.62,0.027777777777777776,133.6663888888889,1.2021485852625207
Social,Mobile,229,4.764192139737991,12.72,0.1222707423580786,162.38615720524018,1.013592025166159
Social,Desktop,143,4.2727272727272725,12.0,0.0979020979020979,158.3699300699301,0.9827666659259939
Paid Search,Mobile,329,4.51063829787234,12.08,0.1458966565349544,155.5919452887538,0.9366834670047889
Organic Search,Mobile,424,4.115566037735849,11.33,0.15566037735849056,148.3464386792453,0.8684855128940808
Referral,Mobile,219,3.853881278538813,11.36,0.1963470319634703,156.41502283105024,0.8288241231861077
Direct,Mobile,172,4.145348837209302,11.260000000000002,0.19767441860465115,155.90994186046512,0.8201712252847597
Organic Search,Tablet,58,3.9655172413793105,11.055,0.20689655172413793,166.80568965517242,0.7959835334262056
Email,Mobile,273,3.9413919413919416,10.96,0.20146520146520147,146.73,0.7945475616832858
Paid Search,Desktop,216,3.875,10.745000000000001,0.2037037037037037,150.8399537037037,0.7767774583480439
Direct,Desktop,119,3.831932773109244,10.65,0.24369747899159663,159.44949579831933,0.7312412027906942
Paid Search,Tablet,34,4.411764705882353,11.295,0.29411764705882354,141.44735294117646,0.7238257990440842
Direct,Tablet,25,3.92,9.91,0.24,161.3868,0.6837585111211983
Email,Tablet,29,3.4827586206896552,9.77,0.2413793103448276,149.97034482758622,0.6728755458857043
Organic Search,Desktop,325,3.3476923076923075,9.64,0.2923076923076923,147.32273846153845,0.6193512343308076
Referral,Tablet,31,3.2903225806451615,9.15,0.2903225806451613,159.69193548387096,0.5895186915203607
Referral,Desktop,157,3.3821656050955413,9.46,0.35668789808917195,151.15662420382165,0.5524950053632713
Email,Desktop,181,2.9668508287292816,9.01,0.3370165745856354,151.78005524861877,0.542304190919966
