user_id,signup_date,acquisition_channel,plan_type,is_paid,paid_conversion_date,days_to_paid,retained_30d,revenue_usd
U000001,2025-10-05,Paid Search,Free,0,,,0,0.0
U000002,2025-07-14,Organic Search,Basic,1,2025-07-15,1,0,26.69
U000003,2025-06-16,Paid Search,Free,0,,,0,0.0
U000004,2025-05-25,Paid Search,Free,0,,,0,0.0
U000005,2025-02-05,Organic Search,Free,0,,,0,0.0
U000006,2025-06-11,Paid Search,Pro,1,2025-06-14,3,0,58.83
U000007,2025-05-13,Organic Search,Free,0,,,0,0.0
U000008,2025-01-23,Social,Free,0,,,0,0.0
U000009,2025-08-12,Social,Free,0,,,0,0.0
U000010,2025-06-18,Referral,Basic,1,2025-06-22,4,1,13.17
U000011,2025-06-27,Referral,Free,0,,,0,0.0
U000012,2025-01-23,Direct,Basic,1,2025-01-28,5,1,29.9
U000013,2025-10-16,Direct,Basic,1,2025-10-19,3,1,33.08
U000014,2025-08-31,Organic Search,Basic,1,2025-09-06,6,0,30.18
U000015,2025-02-02,Paid Search,Basic,1,2025-02-04,2,0,31.56
U000016,2025-05-24,Social,Free,0,,,0,0.0
U000017,2025-02-03,Direct,Free,0,,,0,0.0
U000018,2025-06-18,Referral,Free,0,,,0,0.0
U000019,2025-05-26,Email,Free,0,,,0,0.0
U000020,2025-06-04,Paid Search,Free,0,,,0,0.0
U000021,2025-02-07,Direct,Free,0,,,0,0.0
U000022,2025-03-09,Organic Search,Free,0,,,0,0.0
U000023,2025-08-15,Organic Search,Free,0,,,0,0.0
U000024,2025-08-16,Paid Search,Enterprise,1,2025-08-25,9,1,275.42
U000025,2025-05-05,Social,Basic,1,2025-05-09,4,0,23.17
U000026,2025-03-09,Paid Search,Pro,1,2025-03-13,4,1,36.45
U000027,2025-01-03,Email,Enterprise,1,2025-01-13,10,0,208.62
U000028,2025-04-23,Paid Search,Basic,1,2025-04-23,0,0,21.01
U000029,2025-10-06,Organic Search,Basic,1,2025-10-09,3,0,27.42
U000030,2025-03-24,Direct,Free,0,,,0,0.0
U000031,2025-06-14,Referral,Free,0,,,0,0.0
U000032,2025-05-28,Direct,Pro,1,2025-05-29,1,0,75.39
U000033,2025-03-22,Direct,Free,0,,,0,0.0
U000034,2025-05-20,Referral,Free,0,,,0,0.0
U000035,2025-05-08,Social,Free,0,,,0,0.0
U000036,2025-06-03,Direct,Basic,1,2025-06-13,10,1,30.59
U000037,2025-08-30,Direct,Basic,1,2025-09-04,5,0,33.06
U000038,2025-02-27,Email,Free,0,,,0,0.0
U000039,2025-04-09,Paid Search,Basic,1,2025-04-12,3,1,22.61
U000040,2025-08-12,Email,Basic,1,2025-08-17,5,0,43.84
U000041,2025-06-16,Organic Search,Free,0,,,0,0.0
U000042,2025-06-23,Referral,Free,0,,,0,0.0
