spend_date,acquisition_channel,spend_usd
2025-01-01,Organic Search,53.49
2025-01-01,Paid Search,363.62
2025-01-01,Email,58.24
2025-01-01,Referral,42.92
2025-01-01,Social,183.68
2025-01-01,Direct,33.09
2025-01-02,Organic Search,45.51
2025-01-02,Paid Search,350.7
2025-01-02,Email,91.73
2025-01-02,Referral,60.81
2025-01-02,Social,221.39
2025-01-02,Direct,27.06
2025-01-03,Organic Search,47.81
2025-01-03,Paid Search,373.98
2025-01-03,Email,85.42
2025-01-03,Referral,50.26
2025-01-03,Social,203.62
2025-01-03,Direct,26.3
2025-01-04,Organic Search,39.64
2025-01-04,Paid Search,333.59
2025-01-04,Email,79.05
2025-01-04,Referral,57.55
2025-01-04,Social,234.52
2025-01-04,Direct,38.64
2025-01-05,Organic Search,39.8
2025-01-05,Paid Search,240.09
2025-01-05,Email,65.4
2025-01-05,Referral,49.19
2025-01-05,Social,200.43
2025-01-05,Direct,29.81
2025-01-06,Organic Search,44.67
2025-01-06,Paid Search,286.96
2025-01-06,Email,59.98
2025-01-06,Referral,50.23
2025-01-06,Social,147.98
2025-01-06,Direct,31.5
2025-01-07,Organic Search,55.78
2025-01-07,Paid Search,340.27
2025-01-07,Email,67.84
2025-01-07,Referral,52.85
2025-01-07,Social,211.17
2025-01-07,Direct,26.67
2025-01-08,Organic Search,48.61
2025-01-08,Paid Search,289.82
2025-01-08,Email,62.91
2025-01-08,Referral,54.81
2025-01-08,Social,192.83
2025-01-08,Direct,43.87
2025-01-09,Organic Search,42.63
2025-01-09,Paid Search,326.54
2025-01-09,Email,103.1
2025-01-09,Referral,48.92
2025-01-09,Social,169.91
2025-01-09,Direct,28.54
2025-01-10,Organic Search,49.62
2025-01-10,Paid Search,320.67
2025-01-10,Email,63.96
2025-01-10,Referral,63.94
2025-01-10,Social,160.19
2025-01-10,Direct,28.72
2025-01-11,Organic Search,32.73
2025-01-11,Paid Search,221.81
2025-01-11,Email,79.57
2025-01-11,Referral,60.43
2025-01-11,Social,189.4
2025-01-11,Direct,25.84
2025-01-12,Organic Search,34.58
2025-01-12,Paid Search,372.93
2025-01-12,Email,68.49
2025-01-12,Referral,57.66
2025-01-12,Social,160.96
2025-01-12,Direct,27.13
2025-01-13,Organic Search,38.97
2025-01-13,Paid Search,315.45
