user_id,event_date,event,device,country,medium,revenue
U00001,2025-06-29 15:00:00,view,desktop,Canada,organic,0
U00001,2025-06-29 15:03:27,add_to_cart,desktop,Canada,organic,0
U00001,2025-06-29 15:29:10,checkout,desktop,Canada,organic,0
U00001,2025-06-29 16:33:16,purchase,desktop,Canada,organic,150.91
U00002,2025-02-24 03:00:00,view,desktop,US,organic,0
U00003,2025-03-11 23:00:00,view,mobile,Brazil,none,0
U00004,2025-03-21 07:00:00,view,desktop,Canada,cpc,0
U00004,2025-03-21 07:51:18,add_to_cart,desktop,Canada,cpc,0
U00004,2025-03-21 08:29:28,checkout,desktop,Canada,cpc,0
U00004,2025-03-21 08:59:58,purchase,desktop,Canada,cpc,71.14
U00005,2025-03-22 13:00:00,view,desktop,US,referral,0
U00006,2025-06-09 10:00:00,view,mobile,UK,cpc,0
U00007,2025-05-21 16:00:00,view,mobile,US,referral,0
U00007,2025-05-21 16:29:53,add_to_cart,mobile,US,referral,0
U00007,2025-05-21 16:48:43,checkout,mobile,US,referral,0
U00008,2025-05-11 20:00:00,view,desktop,UK,cpc,0
U00008,2025-05-11 20:09:10,add_to_cart,desktop,UK,cpc,0
U00008,2025-05-11 20:23:18,checkout,desktop,UK,cpc,0
U00008,2025-05-11 20:32:11,purchase,desktop,UK,cpc,106.45
U00009,2025-06-21 16:00:00,view,desktop,US,none,0
U00009,2025-06-21 16:10:26,add_to_cart,desktop,US,none,0
U00010,2025-01-03 15:00:00,view,mobile,UK,organic,0
U00010,2025-01-03 15:38:06,add_to_cart,mobile,UK,organic,0
U00010,2025-01-03 15:50:21,checkout,mobile,UK,organic,0
U00010,2025-01-03 16:53:27,purchase,mobile,UK,organic,109.14
U00011,2025-01-11 14:00:00,view,desktop,UK,organic,0
U00012,2025-04-11 09:00:00,view,tablet,Canada,none,0
U00013,2025-01-26 05:00:00,view,desktop,UK,organic,0
U00013,2025-01-26 05:39:56,add_to_cart,desktop,UK,organic,0
U00014,2025-01-27 09:00:00,view,mobile,US,organic,0
U00014,2025-01-27 09:11:48,add_to_cart,mobile,US,organic,0
U00015,2025-02-23 07:00:00,view,mobile,US,organic,0
U00015,2025-02-23 07:13:09,add_to_cart,mobile,US,organic,0
U00015,2025-02-23 07:23:32,checkout,mobile,US,organic,0
U00016,2025-01-18 00:00:00,view,desktop,India,organic,0
U00016,2025-01-18 00:19:38,add_to_cart,desktop,India,organic,0
