device,medium,viewers,purchasers,conversion_rate,revenue,avg_time_to_purchase_min,friction_index
tablet,none,110,15,0.13636363636363635,1053.94,104.55943777,1.0048227627547317
mobile,none,323,72,0.22291021671826625,5136.7300000000005,102.59227443935185,0.8871175327195217
mobile,cpc,503,128,0.2544731610337972,9947.73,106.85609103606771,0.8864574024369953
tablet,cpc,171,39,0.22807017543859648,2847.04,90.10929886794872,0.7740031651491848
tablet,organic,284,76,0.2676056338028169,6154.5199999999995,92.72890646973684,0.7557104688576654
mobile,organic,794,334,0.42065491183879095,29906.57,105.42605678932136,0.679642607888731
tablet,referral,193,76,0.39378238341968913,6286.66,95.65202199364035,0.6452351425987752
desktop,none,295,86,0.29152542372881357,6945.46,80.69997625562016,0.6361990004178428
mobile,referral,534,265,0.49625468164794007,24422.21,107.87336826075472,0.6046729873935506
desktop,cpc,488,196,0.4016393442622951,16180.42,73.39561612568028,0.4886843773096839
desktop,organic,818,462,0.5647921760391198,45377.29,77.55654550429293,0.3755869173696178
desktop,referral,487,327,0.6714579055441479,33956.96,76.90020615163098,0.28113429713245564
