event_date,year_month,country,category,device_type,user_id,session_id,event_name,quantity,unit_price,revenue
2025-09-01,2025-09,United States,Home,Mobile,U00031,S0000205,viewed,,,
2025-09-01,2025-09,United States,Apparel,Mobile,U00049,S0000259,viewed,,,
2025-09-01,2025-09,United States,Electronics,Desktop,U00308,S0000318,add_to_cart,,,
2025-09-01,2025-09,United States,Electronics,Desktop,U00308,S0000318,checkout_started,,,
2025-09-01,2025-09,United States,Electronics,Desktop,U00308,S0000318,purchased,2.0,107.1696981235696,214.34
2025-09-01,2025-09,United States,Electronics,Desktop,U00308,S0000318,viewed,,,
2025-09-01,2025-09,Australia,Beauty,Desktop,U00475,S0000417,viewed,,,
2025-09-01,2025-09,Canada,Electronics,Desktop,U00195,S0000580,viewed,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U00468,S0000614,viewed,,,
2025-09-01,2025-09,United States,Home,Desktop,U00833,S0000638,add_to_cart,,,
2025-09-01,2025-09,United States,Home,Desktop,U00833,S0000638,checkout_started,,,
2025-09-01,2025-09,United States,Home,Desktop,U00833,S0000638,purchased,3.0,73.76589338047972,221.3
2025-09-01,2025-09,United States,Home,Desktop,U00833,S0000638,viewed,,,
2025-09-01,2025-09,United States,Sports,Mobile,U00420,S0000858,add_to_cart,,,
2025-09-01,2025-09,United States,Sports,Mobile,U00420,S0000858,viewed,,,
2025-09-01,2025-09,United States,Electronics,Mobile,U00337,S0000940,add_to_cart,,,
2025-09-01,2025-09,United States,Electronics,Mobile,U00337,S0000940,checkout_started,,,
2025-09-01,2025-09,United States,Electronics,Mobile,U00337,S0000940,purchased,2.0,106.19574108360794,212.39
2025-09-01,2025-09,United States,Electronics,Mobile,U00337,S0000940,viewed,,,
2025-09-01,2025-09,Canada,Home,Desktop,U00423,S0001241,viewed,,,
2025-09-01,2025-09,United States,Sports,Mobile,U00757,S0001346,viewed,,,
2025-09-01,2025-09,United States,Home,Mobile,U00129,S0001560,viewed,,,
2025-09-01,2025-09,United States,Beauty,Desktop,U00835,S0001571,add_to_cart,,,
2025-09-01,2025-09,United States,Beauty,Desktop,U00835,S0001571,checkout_started,,,
2025-09-01,2025-09,United States,Beauty,Desktop,U00835,S0001571,viewed,,,
2025-09-01,2025-09,Canada,Home,Mobile,U00200,S0001625,add_to_cart,,,
2025-09-01,2025-09,Canada,Home,Mobile,U00200,S0001625,checkout_started,,,
2025-09-01,2025-09,Canada,Home,Mobile,U00200,S0001625,purchased,4.0,88.47039348313331,353.88
2025-09-01,2025-09,Canada,Home,Mobile,U00200,S0001625,viewed,,,
2025-09-01,2025-09,United Kingdom,Home,Mobile,U00719,S0001702,viewed,,,
2025-09-01,2025-09,United States,Home,Desktop,U00204,S0001872,viewed,,,
2025-09-01,2025-09,United States,Electronics,Mobile,U00802,S0002077,viewed,,,
2025-09-01,2025-09,Australia,Home,Mobile,U00881,S0002083,viewed,,,
2025-09-01,2025-09,Germany,Home,Desktop,U00835,S0002103,add_to_cart,,,
2025-09-01,2025-09,Germany,Home,Desktop,U00835,S0002103,viewed,,,
2025-09-01,2025-09,United States,Apparel,Mobile,U00249,S0002145,viewed,,,
2025-09-01,2025-09,United States,Home,Mobile,U00873,S0002453,viewed,,,
2025-09-01,2025-09,Canada,Beauty,Tablet,U00825,S0002718,viewed,,,
2025-09-01,2025-09,Australia,Apparel,Desktop,U00001,S0002949,add_to_cart,,,
2025-09-01,2025-09,Australia,Apparel,Desktop,U00001,S0002949,viewed,,,
2025-09-01,2025-09,United Kingdom,Home,Desktop,U00547,S0003002,add_to_cart,,,
2025-09-01,2025-09,United Kingdom,Home,Desktop,U00547,S0003002,checkout_started,,,
2025-09-01,2025-09,United Kingdom,Home,Desktop,U00547,S0003002,purchased,2.0,82.47904834516795,164.96
2025-09-01,2025-09,United Kingdom,Home,Desktop,U00547,S0003002,viewed,,,
2025-09-01,2025-09,United Kingdom,Beauty,Desktop,U00288,S0003031,viewed,,,
2025-09-01,2025-09,Canada,Electronics,Mobile,U00605,S0003032,viewed,,,
2025-09-01,2025-09,Canada,Beauty,Desktop,U00570,S0003233,viewed,,,
2025-09-01,2025-09,United States,Sports,Mobile,U00552,S0003370,add_to_cart,,,
2025-09-01,2025-09,United States,Sports,Mobile,U00552,S0003370,checkout_started,,,
2025-09-01,2025-09,United States,Sports,Mobile,U00552,S0003370,purchased,1.0,72.51301285363039,72.51
2025-09-01,2025-09,United States,Sports,Mobile,U00552,S0003370,viewed,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U00633,S0003575,add_to_cart,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U00633,S0003575,checkout_started,,,
2025-09-01,2025-09,United States,Beauty,Mobile,U00633,S0003575,purchased,2.0,32.96467257089438,65.93
2025-09-01,2025-09,United States,Beauty,Mobile,U00633,S0003575,viewed,,,
2025-09-01,2025-09,United Kingdom,Home,Mobile,U00116,S0003890,add_to_cart,,,
2025-09-01,2025-09,United Kingdom,Home,Mobile,U00116,S0003890,viewed,,,
2025-09-01,2025-09,Germany,Home,Tablet,U00075,S0004488,viewed,,,
2025-09-01,2025-09,United States,Apparel,Mobile,U00444,S0004938,add_to_cart,,,
2025-09-01,2025-09,United States,Apparel,Mobile,U00444,S0004938,viewed,,,
