date,channel,spend_usd,attributed_trials,attributed_paid_conversions,attributed_revenue_usd
2025-09-25,Paid Ads,1489.81,16,30,2380.61
2025-09-26,Paid Ads,730.86,21,18,1206.17
2025-09-27,Email,433.08,89,37,494.25
2025-09-28,Paid Ads,1283.17,22,22,2505.38
2025-09-29,Paid Ads,254.66,70,35,2076.52
2025-09-30,Paid Ads,1350.44,56,17,1995.32
2025-10-01,Paid Ads,343.77,28,10,2410.83
2025-10-02,Organic Search,943.62,12,4,1552.51
2025-10-03,Social Media,1127.44,116,24,2713.65
2025-10-04,Organic Search,637.22,81,14,610.29
2025-10-05,Social Media,1298.16,49,39,2888.39
2025-10-06,Paid Ads,971.82,21,35,2361.27
2025-10-07,Referral,713.7,40,31,1997.24
2025-10-08,Paid Ads,622.97,44,27,597.84
2025-10-09,Email,345.61,93,33,1185.23
2025-10-10,Paid Ads,1032.47,101,21,1251.66
2025-10-11,Referral,673.26,75,39,1011.87
2025-10-12,Organic Search,616.73,36,10,3821.3
2025-10-13,Organic Search,1434.93,12,17,3671.0
2025-10-14,Email,554.64,57,39,2229.92
2025-10-15,Email,1339.53,30,5,902.12
2025-10-16,Paid Ads,1467.36,61,13,3653.44
2025-10-17,Referral,1269.56,16,27,3022.69
2025-10-18,Organic Search,225.37,60,11,251.21
2025-10-19,Social Media,1329.21,106,17,2013.77
2025-10-20,Organic Search,477.44,54,2,2459.28
2025-10-21,Organic Search,659.26,55,13,359.25
2025-10-22,Organic Search,1489.06,42,23,294.34
2025-10-23,Referral,726.47,45,30,1907.74
2025-10-24,Paid Ads,1051.29,26,20,107.61
2025-10-25,Referral,603.93,15,31,282.66
2025-10-26,Paid Ads,680.26,30,29,744.04
2025-10-27,Referral,976.91,47,22,3648.89
2025-10-28,Paid Ads,1432.77,43,19,3088.51
2025-10-29,Organic Search,567.19,58,25,1856.66
2025-10-30,Organic Search,521.58,70,27,1968.9
2025-10-31,Referral,234.16,67,37,2775.5
2025-11-01,Paid Ads,462.74,85,17,1950.11
2025-11-02,Organic Search,541.14,21,33,349.31
2025-11-03,Organic Search,281.74,27,3,2981.05
2025-11-04,Referral,932.69,71,10,325.22
2025-11-05,Organic Search,364.79,15,19,1995.76
2025-11-06,Paid Ads,864.4,86,20,3460.66
2025-11-07,Referral,445.68,104,39,557.78
2025-11-08,Email,1416.44,98,13,2855.85
2025-11-09,Paid Ads,599.23,57,14,280.68
2025-11-10,Email,320.81,97,36,3972.93
2025-11-11,Organic Search,1287.0,115,11,2760.14
2025-11-12,Paid Ads,722.65,20,23,3879.06
2025-11-13,Organic Search,1266.16,42,11,2706.07
2025-11-14,Paid Ads,606.24,30,36,1044.9
2025-11-15,Email,850.05,112,17,3712.82
2025-11-16,Organic Search,778.96,33,37,2544.01
2025-11-17,Paid Ads,925.28,64,12,2346.15
2025-11-18,Email,722.15,58,18,1773.54
2025-11-19,Social Media,845.84,117,26,1209.92
2025-11-20,Email,1083.13,93,2,2167.27
2025-11-21,Social Media,739.09,18,13,1527.63
2025-11-22,Paid Ads,1089.73,104,4,3430.7
2025-11-23,Paid Ads,1128.59,101,10,212.31
2025-11-24,Organic Search,1173.6,47,20,2167.36
2025-11-25,Paid Ads,812.22,14,20,3362.6
2025-11-26,Paid Ads,204.93,110,21,207.66
2025-11-27,Paid Ads,1179.56,50,12,1200.98
2025-11-28,Paid Ads,1381.81,43,25,300.94
2025-11-29,Paid Ads,1048.4,83,23,2420.51
2025-11-30,Paid Ads,881.91,105,2,1335.27
2025-12-01,Paid Ads,927.47,110,11,3842.95
2025-12-02,Paid Ads,1033.06,72,12,2503.55
2025-12-03,Paid Ads,1498.08,26,9,2291.03
2025-12-04,Paid Ads,280.67,62,18,3677.24
2025-12-05,Email,227.54,45,7,971.94
2025-12-06,Referral,1453.42,45,8,2292.74
2025-12-07,Email,772.62,22,32,2216.85
2025-12-08,Email,996.06,29,38,420.25
2025-12-09,Social Media,1179.47,60,5,3735.03
2025-12-10,Email,1164.73,111,8,2830.92
2025-12-11,Organic Search,1041.35,92,17,3563.61
2025-12-12,Email,813.46,95,26,3931.9
2025-12-13,Paid Ads,948.9,25,37,1970.65
2025-12-14,Email,1148.54,15,36,3234.27
2025-12-15,Email,1306.06,84,15,2352.48
2025-12-16,Social Media,365.5,19,37,3910.78
2025-12-17,Email,561.35,40,10,1064.17
2025-12-18,Referral,716.87,27,12,153.89
2025-12-19,Paid Ads,1065.15,105,2,825.2
2025-12-20,Email,714.37,50,10,599.27
2025-12-21,Organic Search,510.55,115,26,1804.11
2025-12-22,Email,243.09,56,16,401.9
2025-12-23,Paid Ads,1295.26,33,25,958.77
2025-12-24,Referral,744.61,119,9,475.44
2025-12-25,Organic Search,628.0,89,30,1998.34
2025-12-26,Organic Search,890.07,102,8,1140.43
2025-12-27,Social Media,359.8,112,19,1936.93
2025-12-28,Email,716.57,98,4,446.66
2025-12-29,Email,1177.32,113,25,2115.8
2025-12-30,Referral,1156.95,98,21,607.27
2025-12-31,Referral,1203.47,49,32,487.45
2026-01-01,Paid Ads,807.64,54,27,1309.08
2026-01-02,Organic Search,679.59,92,39,3510.23
2026-01-03,Organic Search,1280.87,83,9,3175.23
2026-01-04,Social Media,425.28,10,33,3840.68
2026-01-05,Paid Ads,1142.68,36,9,1894.76
2026-01-06,Email,1354.33,31,6,1318.52
2026-01-07,Social Media,572.0,37,17,3886.54
2026-01-08,Referral,457.13,57,28,1588.9
2026-01-09,Social Media,866.28,44,2,135.5
2026-01-10,Paid Ads,481.31,12,6,3298.42
2026-01-11,Organic Search,1332.0,47,4,759.92
2026-01-12,Email,517.74,99,18,2899.86
2026-01-13,Paid Ads,608.16,53,34,158.98
2026-01-14,Referral,1354.95,14,20,532.86
2026-01-15,Referral,467.31,83,5,1985.9
2026-01-16,Paid Ads,1350.22,16,14,364.8
2026-01-17,Organic Search,472.74,103,27,3565.66
2026-01-18,Social Media,1385.35,98,32,3024.49
2026-01-19,Organic Search,612.93,51,36,1379.92
2026-01-20,Paid Ads,520.1,107,17,2430.33
2026-01-21,Email,820.35,66,25,2890.55
2026-01-22,Email,679.99,94,31,3046.06
